Categories                 Count
--------------------------------
A                              2
A2                             4
AP                             2
AdA                            1
AdN                            1
AdV                            1
Adv                            1
AdvFoc                         1
Ant                            2
CAdv                           1
CN                             4
Card                           2
Cl                             1
ClSlash                        2
Comp                           1
Conj                           2
Det                            6
Dig                            2
Digit                          1
Digits                         2
Float                          1
Foc                            1
IAdv                           1
IComp                          1
IDet                           6
IP                             4
IQuant                         3
Imp                            1
Int                            1
Interj                         1
ListAP                         2
ListAdv                        1
ListCN                         1
ListIAdv                       1
ListNP                        12
ListRS                         8
ListS                          1
ListVPI                        1
ListVPS                        1
N                              2
N2                             4
N3                             8
NP                            12
Num                            4
Numeral                        2
Ord                            1
PConj                          1
PN                             2
Phr                            1
Pol                            2
Predet                         3
Prep                           1
Pron                          12
PronAD                         2
PronAQ                         2
QCl                            1
QS                             1
QVP                            8
Quant                          3
RCl                            8
RP                            13
RS                             8
ReflNP                        12
RelVSCl                        1
S                              1
SC                             1
SSlash                         2
String                         1
Sub10                          2
Sub100                         2
Sub1000                        2
Sub1000000                     2
Subj                           1
Temp                          10
Tense                          5
Text                           1
Utt                            1
V                              3
V2                             6
V2A                            6
V2Q                            6
V2S                            6
V2V                           12
V3                            12
VA                             3
VP                             8
VPI                            1
VPS                            1
VPSlash                       16
VQ                             3
VS                             3
VV                             6
Voc                            1
__gfVar                        1
--------------------------------

Rules                      Count
--------------------------------
AAnter                         1
ASimul                         1
AdAP                           2
AdAdv                          1
AdNum                          2
AdVVP                          8
AddAdvQVP                      8
AdjCN                          8
AdjOrd                         1
AdnCAdv                        1
AdvAP                          2
AdvCN                          4
AdvComp                        1
AdvFocAdv                      1
AdvFocVP                       8
AdvIAdv                        1
AdvIP                          4
AdvNP                         12
AdvQVP                         8
AdvS                           1
AdvSlash                       2
AdvVP                          8
AdvVPSlash                    16
ApposCN                       48
ApposNP                      144
BaseAP                         4
BaseAdv                        1
BaseCN                        16
BaseIAdv                       1
BaseNP                       144
BaseRS                        64
BaseS                          1
BaseVPI                        1
BaseVPS                        1
CAdvAP                        24
CleftAdv                       1
CleftNP                       96
CompAP                         2
CompAdv                        1
CompCN                         4
CompIAdv                       1
CompIP                         4
CompNP                        12
CompPronAD                     2
CompPronAQ                     2
ComparA                       24
ComparAdvAdj                  24
ComparAdvAdjS                  2
ComplA2                       48
ComplBareVS                    3
ComplN2                       48
ComplN3                       96
ComplSlash                   192
ComplSlashIP                  64
ComplVA                        6
ComplVAPronAD                  6
ComplVAPronAQ                  6
ComplVPIVV                     6
ComplVQ                        3
ComplVS                        3
ComplVV                       48
CompoundAdjN                   4
CompoundGenN                   4
CompoundNomN                   4
ConjAP                         4
ConjAdv                        2
ConjCN                         2
ConjIAdv                       2
ConjNP                        24
ConjRS                        16
ConjS                          2
ConjVPI                        2
ConjVPS                        2
ConsAP                         4
ConsAdv                        1
ConsCN                         4
ConsIAdv                       1
ConsNP                       144
ConsRS                        64
ConsS                          1
ConsVPI                        1
ConsVPS                        1
D_0                            1
D_1                            1
D_2                            1
D_3                            1
D_4                            1
D_5                            1
D_6                            1
D_7                            1
D_8                            1
D_9                            1
DefArt                         1
DetCN                         24
DetNP                          6
DetNP_utr                      6
DetPronAD                      2
DetQuant                      12
DetQuantOrd                   12
EmbedQS                        1
EmbedS                         1
EmbedVP                        8
EmptyRelSlash                  2
ExistIP                        4
ExistNP                       12
ExtAdvS                        1
FocAP                         12
FocAdV                         1
FocNeg                         1
FocObj                        24
FocVP                         96
FocVV                        576
FunRP                        156
GenCN                        192
GenNP                         12
GenericCl                      8
IAdvAdv                        1
ICompAP                        2
IDig                           2
IIDig                          4
IdRP                           1
IdetCN                        24
IdetIP                         6
IdetQuant                     12
ImpPl1                         8
ImpVP                          8
ImpersCl                       8
IndefArt                       1
MassNP                         4
MkVPI                          8
MkVPS                        160
NoPConj                        1
NoVoc                          1
NumCard                        2
NumDigits                      2
NumNumeral                     2
NumPl                          1
NumSg                          1
OrdDigits                      2
OrdNumeral                     2
OrdSuperl                      2
PConjConj                      2
PNeg                           1
PPartAP                        6
PPartNP                       72
PPos                           1
PassV2                         6
PassV2Be                       6
PhrUtt                         1
PositA                         2
PositAdAAdj                    2
PositAdvAdj                    2
PossPron                      12
PredGen                      144
PredSCVP                       8
PredVP                        96
PredVPS                       12
PredetAdvF                     1
PredetNP                      36
PrepCN                         4
PrepIP                         4
PrepNP                        12
ProgrVP                        8
QuantPronAQ                    2
QuestCl                        1
QuestIAdv                      1
QuestIComp                    12
QuestQVP                      32
QuestSlash                     8
QuestVP                       32
ReflA2                         4
ReflCN                        16
ReflSlash                    192
ReflVP                        16
RelCN                         32
RelCl                          1
RelNP                         96
RelS                           8
RelSlash                      26
RelSlashVS                   720
RelVP                        104
RelVS                          1
SelfAdV                        1
SelfNP                        12
SentAP                         2
SentCN                         4
Slash2V3                     144
Slash3V3                     144
SlashPrep                      1
SlashV2A                      12
SlashV2Q                       6
SlashV2S                       6
SlashV2V                      96
SlashV2VNP                  2304
SlashV2a                       6
SlashV3Varandra               12
SlashVP                      192
SlashVS                       72
SlashVV                       96
StrandQuestSlash               8
StrandRelSlash                26
SubjS                          1
SupCl                        192
TCond                          1
TEmpty                         1
TExclMark                      1
TFullStop                      1
TFut                           1
TFutKommer                     1
TPast                          1
TPres                          1
TQuestMark                     1
TTAnt                         10
Use2N3                         8
Use3N3                         8
UseA2                          4
UseCl                         20
UseComp                        1
UseCopula                      1
UseFoc                        20
UseN                           2
UseN2                          4
UsePN                          2
UsePron                       12
UseQCl                        20
UseRCl                       160
UseSlash                      40
UseV                           3
UttAP                          2
UttAdv                         1
UttCN                          4
UttCard                        2
UttIAdv                        1
UttIP                          4
UttImpPl                       2
UttImpPol                      2
UttImpSg                       2
UttNP                         12
UttQS                          1
UttS                           1
UttVP                          8
VS_it                          3
VV_it                          6
VarandraVP                    16
VocNP                         12
aatskilliga_Det                1
above_Prep                     1
add_V3                         1
after_Prep                     1
airplane_N                     1
all_Predet                     1
almost_AdA                     1
almost_AdN                     1
already_Adv                    1
although_Subj                  1
always_AdV                     1
and_Conj                       1
animal_N                       1
answer_V2S                     1
apartment_N                    1
apple_N                        1
art_N                          1
as_CAdv                        1
ashes_N                        1
ask_V2Q                        1
at_least_AdN                   1
at_most_AdN                    1
baada_Det                      1
baby_N                         1
back_N                         1
bad_A                          1
baegge_Det                     1
bank_N                         1
bara_AdvFoc                    1
bark_N                         1
beautiful_A                    1
because_Subj                   1
become_V2                      1
become_VA                      1
beer_N                         1
before_Prep                    1
beg_V2V                        1
begin_VV                       1
behind_Prep                    1
belly_N                        1
between_Prep                   1
big_A                          1
bike_N                         1
bird_N                         1
bite_V2                        1
black_A                        1
blood_N                        1
blow_V                         1
blue_A                         1
boat_N                         1
bone_N                         1
book_N                         1
boot_N                         1
boss_N                         1
both7and_DConj                 1
boy_N                          1
bread_N                        1
break_V2                       1
breast_N                       1
breathe_V                      1
broad_A                        1
brother_N2                     1
brown_A                        1
burn_V                         1
but_PConj                      1
