s1	Individuell beskattning av arbetsinkomster
s12	Observera att ansökan härom skall göras senast den 1 juli 1971 .
s22	Höjt avdrag för underhållsbidrag till icke hemmavarande barn
s32	Vid högre taxerad inkomst sjunker avdraget med en femtedel av det belopp som överstiger 30000 kronor .
s43	Skattelättnad för folkpensionärer
s53	Inryckning
s63	Den militära verksamheten har kriget som bakgrund .
s73	En sekunds tvekan eller dröjsmål eller ett till synes oskyldigt slarv kan kosta dig och även kamraterna livet .
s83	Hjälp då dina svagare kamrater .
s93	Tystnadsplikt
s103	Toalettartiklar ( kan även köpas i marketenteriet ) - rakhyvel och rakborste - även om du har elektrisk rakapparat .
s113	Träningsoverall
s123	På förmiddagen tränas du i olika utbildningsgrenar , i regel till omkring kl 11 .
s133	90 procent av befälet i krig är värnpliktiga eller reservbefäl .
s143	En del av dessa värnpliktiga skall t ex handha särskilt komplicerad och dyrbar materiel .
s153	Värnpliktiga som fullgör längre tjänst än 300 dagar får särskilda premier , som växer med tjänstgöringens längd .
s163	Från 1 januari 1970 tillämpas ett nytt och enklare system för ersättning av kostnader vid läkarvård .
s173	I de avgifter du betalar ingår också eventuella röntgen- och laboratorieundersökninga .
s183	Det nya ersättningssystemet gäller den allmänna öppna vården .
s193	Folkpensionärer som är sjukpenningförsäkrade ( genom inkomst av arbete ) har i fortsättningen rätt till både sjukpenning i sammanlagt 180 dagar och fri sjukvård i sammanlagt 365 dagar .
s203	Om du måste söka läkare ( t ex specialist ) långt hemifrån kan försäkringskassan i vissa fall ersätta dina utgifter för övernattning .
s213	Ring gärna .
s223	Var i Sverige finns invandrarna ?
s233	Arbetstillstånd beviljas av statens invandrarverk ( Siv ) efter tillstyrkan av arbetsmarknadsstyrelsen , som bedömer läget på arbetsmarknaden .
s243	De har samma skydd för sin person och egendom , samma möjligheter till utbildning , hälso- och sjukvård som svenskar .
s253	För att få medborgarskap skall nordiska medborgare ha vistats i Sverige tre år och icke-nordbor sju år .
s263	I varje svensk postadress ingår ett femsiffrigt postnummer , som skall stå till vänster om adressortens namn .
s273	Då används alltid , om det rör sig om post med gatuadress etc , det lägsta av dessa nummer .
s283	För varje ort i del 2 ges upplysning om postnumren för fack- och boxadresser och för olika gator , vägar etc .
s293	Eller också kan det gälla adresser till en gård eller en by i ett område där det inte finns gatuadresser .
s303	Bokstavsbeteckningarna för postutdelningsområden i Stockholm , Göteborg och Malmö ( Stockholm C , Göteborg H , Malmö S etc ) behöver inte användas , när man sätter ut postnumret framför Stockholm , Göteborg resp Malmö .
s313	Eftersom bilarna i både Väst- och Östtyskland har bokstavsbeteckningen D , går det inte att använda enbart den bokstaven i förbindelse med postnummer till Östtyskland .
s323	Det finns olika sätt att skicka postpaket inom landet .
s333	Postbehandlingstid
s343	Utkörning förekommer inte på sön- och helgdagar .
s353	Adresskortet delas ut till adressaten på första vardagen efter inlämningsdagen .
s363	Expressutdelning kan begäras på paket adresserade till ca 600 tätorter .
s373	Blir resultatet tveksamt kan undersökningen kompletteras med analys av ett urinprov .
s383	Det ovan nämnda hormonet uppträder i tillräcklig mängd i urinen först ca 10 dagar efter den dag den uteblivna menstruationen skulle ha börjat .
s393	För att Rfsu-laboratoriets undersökning skall bli tillförlitlig fordras att Ni ... 1. tidigast 10 dagar efter den uteblivna menstruationens beräknade första dag eller tidigast fyra veckor efter eventuellt befruktningstillfälle tar ... 2. ett prov av Er morgonurin , ca 1/2 dl ( = 50 gr ) , i en väl rengjord flaska ( glas eller plast ) , som etiketteras med Ert namn och som ... 3. inlämnas eller postas till Rfsu-laboratoriet tillsammans med en av Er ifylld inlämningsblankett .
s403	Ni kan också få det översänt per post i ett förslutet neutralt kuvert .
s413	Ni som äter p-piller
s423	Allt efter som prisläget förändras , ändras också basbeloppet .
s433	Vem kan få Atp ?
s443	Förtidspension eller sjukbidrag
s453	( Se vidare sid 8 ff . )
s463	På grundval av den pensionsgrundande inkomsten beräknas pensionspoäng , som registreras på Ert poängkort hos försäkringskassan .
s473	Pensionsålder
s483	Den som har gjort förtida uttag av ålderspension kan återkalla detta .
s493	Atp infördes 1960 .
s503	Kommunalt bostadstillägg är ett tillägg till bl a ålderspension och utgår enligt grunder som varje kommun själv bestämmer .
s513	Barntillägg utgår till ålderspensionär , som har eget eller hustruns barn under 16 år i hemmet eller som har vårdnaden om sådant barn .
s523	Och du har inte bara en chans att vinna .
s533	Din insats i skattelotteriet är samtidigt ett sparande som återgår till dig med rekordränta .
s543	Förmånerna gäller bara privatpersoner ( inte bolag etc ) som fått skatteåterbäring .
s553	Varje hundralapp ger en andel i lotteriet .
s563	Antalet andelar i lotteriet minskar också .
s573	Men antingen förmår man ännu inte utnyttja de resurser man har - eller också utnyttjas dessa på ett sätt som inte kommer majoriteten av folket tillgodo .
s583	Ett exempel : enbart i Usa ökar Bnp varje år med ett belopp , som är ungefär lika stort som den totala bruttonationalprodukten i hela Afrika eller Indien !
s593	Skillnaderna inom ett land kan vara mycket stora .
s603	När dagens 30-åringar gick i skolan var Afrikas och Asiens kartor i huvudsak indelade i några få färgfält - för att utmärka de olika områden , som tillhörde England , Frankrike , Holland , Belgien eller Portugal .
s613	industriländerna ( ' i-länderna ' ) producerar förädlade produkter , som de måste få avsättning för , u-länderna måste få sälja sina råvaror .
s623	Den är följden av att stora folksjukdomar nu bekämpas med moderna hjälpmedel , att människornas kunskap om hygien har förbättrats och att tillgången på mat och vatten har ökat .
s633	Även med en jämn fördelning av produktionen blir det inte tillräckligt för var och en .
s643	Barndödligheten beräknas - trots den minskning som skett - i Indien vara tio gånger så hög som i Sverige , i Peru och Tunisien sex gånger så hög .
s653	Låg- och mellanstadiet
s663	Praktisk yrkesorientering ( pryo ) , dvs praktik på en arbetsplats , skall alla elever i årskurs 9 ha under två veckor .
s674	Ett helt nytt inslag i grundskolan blir fritt valt arbete .
s684	Kristendomskunskap byter namn och kallas religionskunskap .
s694	Här ges några exempel .
s705	En samordning av undervisningen i dessa ämnen blir därför nödvändig .
s715	' Att skydda , vårda och förbättra vår miljö ' är exempel på ett arbetsområde som berör ämnena naturkunskap , samhällskunskap och geografi .
s725	Det kan ske antingen i specialklass eller genom samordnad specialundervisning .
s735	Man får också veta vart man ska vända sig .
s746	Den förebyggande barnavården sköts av barnavårdscentralen .
s756	Barnavårdsmannen ska se till att barnets rätt tas tillvara i bl. a. ekonomiska frågor , ge biträde inför domstol och hjälpa föräldrarna med råd och anvisningar .
s766	På Bb brukar personalen se till att anmälan blir ifylld och avsänd .
s776	Man vänder sig till landstinget eller barnavårdsnämnden .
s786	Många kommuner ordnar olika former av barntillsyn .
s796	Barntillsyn ordnas också genom
s806	Dessa leds av läkare .
s816	Bostadstillägg till barnfamiljer
s826	Grundbeloppet utgår oberoende av bostadens storlek och utrustning .
s836	Blanketter sänds varje år till alla familjer som får barnbidrag .
s846	J större kommuner finns vanligen en särskild kommunal bostadsförmedling .
s856	Se också Förbättringslån sida 12 och Invalidbostadsbidrag sida 13 .
s866	Lagen ger också hyresgästen rätt att i vissa fall byta lägenheten även om hyresvärden skulle motsätta sig ett byte .
s876	I Socialkatalogen finns vidare upplysningar om bl. a. barn- och ungdomsfrågor , bostadsfrågor , försäkringsskydd , arv och andra familjerättsliga frågor .
s886	Denna innebär bl. a. att vardera maken vid äktenskapets upplösning har rätt till hälften av den andre makens tillgångar .
s896	Hemskillnad
s906	Om makarna har levt var för sig ( hemskilda ) under minst ett år , kan en eller båda begära att domstolen dömer till äktenskapsskillnad .
s916	Statistiska centralbyrån beräknar varje månad de genomsnittliga prisförändringarna för de varor och tjänster vi konsumerar .
